         MAX_THREAD   GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
            512             494.206                   0                   0             746.896
            512                   0             20.8057                   0             310.462
            512                   0                   0             19.1104             308.117
            516             494.501                   0                   0             743.148
            516                   0             20.7495                   0             309.335
            516                   0                   0             18.9304             307.641
            520             494.469                   0                   0             740.518
            520                   0             20.4622                   0             309.677
            520                   0                   0             19.3882             308.886
            524             497.359                   0                   0              743.13
            524                   0             20.4565                   0             309.553
            524                   0                   0             19.1037             308.215
            528             494.146                   0                   0             742.761
            528                   0             20.5337                   0              309.62
            528                   0                   0             18.9977             307.957
            532             494.244                   0                   0             741.331
            532                   0             20.9805                   0             310.968
            532                   0                   0             19.2457             309.081
            536             496.039                   0                   0             748.327
            536                   0             20.8787                   0             316.418
            536                   0                   0             19.1625             314.534
            540             496.017                   0                   0             749.545
            540                   0              20.707                   0             316.551
            540                   0                   0             19.0288             314.743
            544             497.082                   0                   0             751.416
            544                   0             20.6501                   0             318.208
            544                   0                   0             19.1829             316.698
            548             495.769                   0                   0             741.499
            548                   0             20.9259                   0             309.454
            548                   0                   0             19.2058             307.618
            552             496.438                   0                   0              747.59
            552                   0             20.8572                   0             309.588
            552                   0                   0              18.914             307.767
            556              497.34                   0                   0             742.811
            556                   0             20.6002                   0             309.451
            556                   0                   0             18.9194             307.544
            560             496.578                   0                   0             745.398
            560                   0             20.9063                   0             309.456
            560                   0                   0             19.2288             307.718
            564             495.767                   0                   0             744.128
            564                   0             21.3018                   0             310.015
            564                   0                   0             18.9503             307.945
            568             496.245                   0                   0             747.532
            568                   0             21.0464                   0             309.606
            568                   0                   0              18.954             307.178
            572             495.825                   0                   0             740.481
            572                   0             20.6578                   0             309.097
            572                   0                   0             19.1928             307.395
            576             496.063                   0                   0             746.878
            576                   0              21.215                   0             309.714
            576                   0                   0             18.9873             307.558
            580             496.384                   0                   0             742.026
            580                   0             20.8281                   0             310.106
            580                   0                   0             18.8637             307.802
            584             495.643                   0                   0             758.776
            584                   0             20.8441                   0             309.881
            584                   0                   0             18.9132             307.807
            588             496.674                   0                   0             744.876
            588                   0             20.9015                   0             309.171
            588                   0                   0             18.9379             307.312
            592             497.294                   0                   0             742.107
            592                   0             20.9391                   0             309.259
            592                   0                   0             18.8769             307.148
            596             496.634                   0                   0             745.118
            596                   0             20.9294                   0              309.96
            596                   0                   0             19.2677             308.435
            600             497.286                   0                   0             744.841
            600                   0             20.7984                   0             308.782
            600                   0                   0             19.2294             307.574
            604             496.507                   0                   0             747.742
            604                   0             20.9955                   0             309.479
            604                   0                   0             18.9291             307.641
            608             496.559                   0                   0             741.355
            608                   0              20.598                   0             308.841
            608                   0                   0             19.1951             307.058
            612             496.426                   0                   0             745.246
            612                   0             21.0327                   0             309.707
            612                   0                   0             19.2507             308.326
            616             496.828                   0                   0             742.295
            616                   0             20.7547                   0             309.327
            616                   0                   0             19.0631             307.604
            620              496.15                   0                   0             744.369
            620                   0             20.4695                   0             309.101
            620                   0                   0             18.9434              307.59
            624              496.16                   0                   0             745.074
            624                   0             20.8993                   0             309.642
            624                   0                   0              18.966             307.452
            628             496.657                   0                   0             747.623
            628                   0             20.8107                   0             309.538
            628                   0                   0             19.2036             307.696
            632             496.704                   0                   0             745.228
            632                   0             20.7407                   0             309.708
            632                   0                   0             19.2888             308.061
            636             496.214                   0                   0             746.842
            636                   0             21.0348                   0             309.723
            636                   0                   0             18.9531             307.661
            640             482.087                   0                   0             727.447
            640                   0             20.1519                   0              307.82
            640                   0                   0              18.493             306.427
            644             482.543                   0                   0             726.048
            644                   0              20.682                   0             307.043
            644                   0                   0             18.5321             304.696
            648             496.139                   0                   0             742.451
            648                   0             20.9415                   0             311.198
            648                   0                   0             18.7951             308.609
            652             496.213                   0                   0             750.023
            652                   0             20.6281                   0             311.795
            652                   0                   0             18.8657             309.971
            656             496.248                   0                   0             744.628
            656                   0             20.7328                   0             309.505
            656                   0                   0             18.8337             307.509
            660             497.433                   0                   0             743.927
            660                   0             20.6148                   0             309.944
            660                   0                   0             19.2347             308.567
            664             496.116                   0                   0             745.951
            664                   0             20.8163                   0             311.248
            664                   0                   0             18.9647             309.531
            668             496.363                   0                   0             742.517
            668                   0             20.6772                   0             310.135
            668                   0                   0             19.2441             308.504
            672             496.248                   0                   0             741.795
            672                   0             20.5942                   0             308.917
            672                   0                   0              18.929             307.305
            676             495.724                   0                   0             743.255
            676                   0             21.1443                   0             310.268
            676                   0                   0             18.9374             308.101
            680             496.591                   0                   0             744.641
            680                   0             21.1007                   0             309.198
            680                   0                   0             18.9393             306.973
            684             495.845                   0                   0              744.57
            684                   0             20.6017                   0             309.312
            684                   0                   0             19.1086             307.889
            688             495.536                   0                   0              746.59
            688                   0             21.1105                   0             310.265
            688                   0                   0             18.8672             308.039
            692             496.266                   0                   0             742.743
            692                   0             20.7225                   0             310.416
            692                   0                   0             19.0844             308.803
            696             495.813                   0                   0             745.373
            696                   0             20.9265                   0             310.952
            696                   0                   0             18.9394             308.902
            700             500.661                   0                   0             751.598
            700                   0             20.9104                   0             309.362
            700                   0                   0              18.979             307.248
            704              495.89                   0                   0             740.252
            704                   0             21.1244                   0             309.267
            704                   0                   0             19.1436             306.816
            708             498.173                   0                   0              749.51
            708                   0             20.9891                   0             308.959
            708                   0                   0             18.7762             307.056
            712             482.813                   0                   0             726.867
            712                   0             20.4741                   0             307.333
            712                   0                   0             18.5271             305.275
            716             482.076                   0                   0             725.354
            716                   0             20.5509                   0             307.093
            716                   0                   0             18.5088             304.526
            720             496.384                   0                   0             742.209
            720                   0             20.5924                   0             309.928
            720                   0                   0             19.1188              308.33
            724             496.077                   0                   0             747.686
            724                   0             20.4531                   0             309.189
            724                   0                   0             19.1567              308.36
            728              496.25                   0                   0             741.637
            728                   0             20.7202                   0             309.713
            728                   0                   0             19.1696             308.174
            732              495.93                   0                   0             745.614
            732                   0             20.6988                   0             310.448
            732                   0                   0             19.1988             308.821
            736             497.051                   0                   0             743.461
            736                   0             20.2274                   0             310.262
            736                   0                   0             18.7959             308.517
            740             495.412                   0                   0             742.516
            740                   0             20.8655                   0             310.228
            740                   0                   0             19.4493             309.209
            744             495.823                   0                   0             741.523
            744                   0             20.5588                   0             310.115
            744                   0                   0             19.2278             308.413
            748             495.832                   0                   0             744.068
            748                   0             20.5459                   0             308.539
            748                   0                   0             18.8929             306.868
            752              500.91                   0                   0             749.851
            752                   0             20.5418                   0             309.307
            752                   0                   0             19.4402              308.23
            756             496.041                   0                   0             745.145
            756                   0             21.1237                   0             310.394
            756                   0                   0             18.9532             308.139
            760             495.321                   0                   0             741.588
            760                   0              20.959                   0              310.27
            760                   0                   0             19.2336             308.532
            764             498.719                   0                   0             743.951
            764                   0             20.7989                   0             309.033
            764                   0                   0             19.2031              307.41
            768             496.052                   0                   0             742.841
            768                   0             21.1527                   0             311.196
            768                   0                   0             19.2416             308.765
            772             503.131                   0                   0             754.413
            772                   0             21.1055                   0             310.284
            772                   0                   0             18.9445             307.999
            776             496.021                   0                   0             746.668
            776                   0             20.6892                   0             309.149
            776                   0                   0             19.1425             307.479
            780             496.367                   0                   0             744.947
            780                   0             20.8233                   0             309.016
            780                   0                   0             19.1478              306.95
            784             495.664                   0                   0             743.554
            784                   0              20.813                   0             309.021
            784                   0                   0             19.0223               307.1
            788              495.57                   0                   0             744.423
            788                   0             20.5472                   0              308.94
            788                   0                   0             19.2076              307.87
            792             496.571                   0                   0             742.927
            792                   0             20.9385                   0             311.065
            792                   0                   0             19.2111              309.08
            796             496.618                   0                   0             741.734
            796                   0             20.6502                   0             308.929
            796                   0                   0             19.0185             307.206
            800             497.047                   0                   0             742.583
            800                   0             20.8775                   0             309.647
            800                   0                   0             19.2317             308.079
            804             495.188                   0                   0             747.098
            804                   0             20.9593                   0             310.075
            804                   0                   0             19.1605              308.03
            808             496.005                   0                   0              741.79
            808                   0             20.6744                   0             310.002
            808                   0                   0             18.9511             307.999
            812             496.321                   0                   0             741.726
            812                   0             20.9141                   0             310.248
            812                   0                   0             19.2007             308.362
            816             495.871                   0                   0             742.445
            816                   0             20.4949                   0              310.22
            816                   0                   0             19.1561             309.212
            820             495.883                   0                   0             740.614
            820                   0             21.1029                   0             309.533
            820                   0                   0             19.1089             307.217
            824             496.433                   0                   0              749.31
            824                   0             20.4884                   0             311.088
            824                   0                   0             18.7619               309.3
            828              497.12                   0                   0             742.313
            828                   0             20.8891                   0              309.74
            828                   0                   0             19.2517             308.043
            832             495.975                   0                   0             743.081
            832                   0             20.9703                   0             310.924
            832                   0                   0             19.2141             308.979
            836             496.495                   0                   0             745.701
            836                   0             20.8821                   0             310.492
            836                   0                   0             19.2691             308.671
            840             496.625                   0                   0             747.367
            840                   0             20.1879                   0             309.285
            840                   0                   0             19.1987             308.523
            844             496.356                   0                   0             743.332
            844                   0             21.0321                   0             310.745
            844                   0                   0             19.1817             308.745
            848             496.484                   0                   0              741.16
            848                   0             21.0023                   0             308.938
            848                   0                   0             19.1999             307.274
            852             495.914                   0                   0             746.395
            852                   0             21.0645                   0             309.848
            852                   0                   0             19.0081                 308
            856             496.422                   0                   0             747.846
            856                   0             20.8291                   0             309.931
            856                   0                   0             19.4447             308.154
            860             496.057                   0                   0             745.784
            860                   0             21.0377                   0             311.136
            860                   0                   0             18.8256             308.856
            864             482.812                   0                   0             727.379
            864                   0             20.5839                   0             308.077
            864                   0                   0             18.5816             305.872
            868             482.523                   0                   0             732.316
            868                   0             20.4766                   0             307.618
            868                   0                   0             18.5178             305.544
            872             495.525                   0                   0             743.036
            872                   0               20.99                   0             309.343
            872                   0                   0             19.2592             307.496
            876             495.861                   0                   0             742.246
            876                   0             21.0704                   0             310.337
            876                   0                   0             18.9787              308.53
            880              496.27                   0                   0             744.911
            880                   0             21.3974                   0             309.847
            880                   0                   0              19.058             307.485
            884             496.077                   0                   0             742.993
            884                   0             20.5986                   0             310.622
            884                   0                   0             18.8859             308.707
            888              497.37                   0                   0             749.065
            888                   0               20.84                   0             310.083
            888                   0                   0             19.2854             308.294
            892             482.741                   0                   0             726.076
            892                   0              20.234                   0              306.16
            892                   0                   0             18.6186             304.844
            896             482.663                   0                   0             731.496
            896                   0             20.4271                   0             306.126
            896                   0                   0             18.5409             303.892
            900             501.941                   0                   0             753.247
            900                   0             20.8644                   0             310.303
            900                   0                   0             19.2265             308.725
            904             496.588                   0                   0             743.306
            904                   0             20.9675                   0             311.314
            904                   0                   0             19.2366             309.541
            908             496.443                   0                   0             742.748
            908                   0             20.9618                   0             310.304
            908                   0                   0             19.2293             308.282
            912             496.189                   0                   0             743.257
            912                   0             20.8489                   0             309.067
            912                   0                   0             18.9492             307.092
            916             496.027                   0                   0              744.99
            916                   0             20.4359                   0             308.925
            916                   0                   0             19.2631             307.994
            920             495.281                   0                   0             746.519
            920                   0             21.0966                   0             309.818
            920                   0                   0             19.0167             307.238
            924             496.911                   0                   0             744.607
            924                   0             20.9351                   0             310.767
            924                   0                   0             19.2956             309.166
            928             496.419                   0                   0             748.405
            928                   0             20.5469                   0             310.287
            928                   0                   0             19.3515             309.293
            932             496.344                   0                   0             745.004
            932                   0             20.9062                   0             309.812
            932                   0                   0             19.2336             307.732
            936             501.067                   0                   0             752.641
            936                   0              21.144                   0             310.206
            936                   0                   0             19.1897             308.304
            940               496.2                   0                   0             747.745
            940                   0             20.3811                   0             310.156
            940                   0                   0             19.2375             309.048
            944             495.661                   0                   0             744.295
            944                   0             21.2576                   0             310.189
            944                   0                   0             18.8824             307.633
            948             496.104                   0                   0             742.846
            948                   0             20.9595                   0             310.945
            948                   0                   0             18.9942             308.967
            952             495.939                   0                   0             743.368
            952                   0              21.347                   0             311.465
            952                   0                   0             18.9098             309.066
            956              495.69                   0                   0             741.363
            956                   0             20.9674                   0             309.925
            956                   0                   0             19.2361             308.359
            960             496.645                   0                   0              749.18
            960                   0             20.9321                   0             309.432
            960                   0                   0              19.254             307.725
            964             496.154                   0                   0             754.773
            964                   0             20.6117                   0             308.839
            964                   0                   0             18.9283             306.991
            968             495.949                   0                   0             746.825
            968                   0             20.7108                   0             309.784
            968                   0                   0             19.3122             308.073
            972             495.106                   0                   0             744.317
            972                   0             21.0909                   0             310.117
            972                   0                   0             18.9677             308.042
            976             496.703                   0                   0             744.376
            976                   0              20.664                   0             309.361
            976                   0                   0             19.2022             307.383
            980             495.848                   0                   0             741.287
            980                   0             20.7278                   0              308.96
            980                   0                   0             19.2425             307.539
            984             482.596                   0                   0             727.913
            984                   0             20.9322                   0             311.616
            984                   0                   0             18.7391             309.702
            988             482.067                   0                   0             736.028
            988                   0             20.8008                   0              308.16
            988                   0                   0             18.7088             306.084
            992              496.28                   0                   0             743.791
            992                   0             20.8637                   0             308.864
            992                   0                   0             19.2193             307.237
            996             496.699                   0                   0             749.657
            996                   0             20.5816                   0              310.15
            996                   0                   0             19.3287             309.025
           1000             495.728                   0                   0             743.901
           1000                   0             21.1973                   0             309.631
           1000                   0                   0             19.0115             307.964
           1004             482.087                   0                   0             726.636
           1004                   0             20.0035                   0              307.48
           1004                   0                   0              18.585             306.455
           1008             482.824                   0                   0             729.548
           1008                   0             20.2724                   0             309.564
           1008                   0                   0             18.5308             307.306
           1012              482.52                   0                   0             726.609
           1012                   0             20.3182                   0             306.896
           1012                   0                   0             18.5201             305.327
           1016             497.135                   0                   0             754.329
           1016                   0             20.4357                   0             321.817
           1016                   0                   0             18.5379             320.663
           1020             482.201                   0                   0             733.415
           1020                   0             20.5731                   0             310.379
           1020                   0                   0             18.5882             307.639
           1024             486.919                   0                   0             734.636
           1024                   0             19.8946                   0              311.19
           1024                   0                   0             18.4716             309.193
