              MAX_THREAD  GPU_TIME_KERNEL_V1  GPU_TIME_KERNEL_V2  GPU_TIME_KERNEL_V3      GPU_TIME_TOTAL
                 928             483.404             65.1009             16.7535             482.967
                 932             483.068             64.9856              16.878             482.927
                 936             483.525             66.0078             16.8078             483.538
                 940             483.178             65.2978             16.7374             482.962
                 944             483.299              61.047             16.6471             481.721
                 948             482.945             58.0313             16.6035             480.521
                 952             482.868              56.449             16.5333             480.023
                 956              483.17             55.6756             16.4716             479.787
                 960             483.126             61.9226             16.3657             481.767
                 964             483.218             66.4122             16.7746             483.568
                 968             483.446             66.3469             16.7022             483.637
                 972             482.927              66.299             16.6425             483.116
                 976               483.3             66.1911             16.5412             483.476
                 980             483.345             66.3549             16.5041             483.413
                 984             482.993             66.2768             16.4378             483.261
                 988             483.313             66.2413             16.3717             483.423
                 992             482.934              66.113             16.2829             483.101
                 996             483.286             66.2882             16.3828             483.329
                1000             483.437             66.1997             16.3181             483.326
                1004             483.261             66.1503              16.263             483.269
                1008             483.185             66.0427             16.1678              482.99
                1012             483.353             66.1945             16.1403             483.514
                1016             483.272             66.1089             16.0635             483.255
                1020             483.023             66.0698             16.0138             483.004
                1024             483.227             65.9396             17.2762             483.674
